,0
yr,0.06613913447765102
hr,0.4952186798811049
holiday,0.0019959487558127934
workingday,0.08167871235695533
atemp,0.13862591717339903
hum,0.03448149130975614
windspeed,0.012577521462560429
daylight_hrs,0.008174234592556553
season_1,0.012516919181796695
season_2,0.001633975224514236
season_3,0.0010372365344578425
season_4,0.008960043139418885
weathersit_1,0.0023060326920254248
weathersit_2,0.001396542737936534
weathersit_3,0.016261860466731146
weathersit_4,7.88302353798066e-06
weekday_0,0.0022060581222298147
weekday_1,0.0023499432223142314
weekday_2,0.001670304240407472
weekday_3,0.0021507968449764104
weekday_4,0.001765948621078018
weekday_5,0.006228618831753603
weekday_6,0.0025502268333745764
mnth_1,0.001036522230330631
mnth_2,0.0005532319273882982
mnth_3,0.0012286556215061306
mnth_4,0.0020144726507075107
mnth_5,0.0010754165637824917
mnth_6,0.0003950501688146437
mnth_7,0.000584242121081856
mnth_8,0.0008460879461178683
mnth_9,0.0007279186543249388
mnth_10,0.0011886615393590534
mnth_11,0.001044919211178744
mnth_12,0.0014555011864343693
night_hr,0.018544403713255775
peak_hr,0.06737088673936842
